Date,Size [B],Used [B]
2021-04-30T08:20:43.918709,693409840,212559824
2021-04-30T08:20:46.419068,771875840,427695104
2021-04-30T08:20:48.919338,841051848,358519096
2021-04-30T08:20:51.419592,826237456,373333488
2021-04-30T08:20:53.919847,811011736,388559208
2021-04-30T08:20:56.420102,797661864,401909080
2021-04-30T08:20:58.920356,780230344,419340600
2021-04-30T08:21:01.420611,762893920,436677024
2021-04-30T08:21:03.920870,747444872,452126072
2021-04-30T08:21:06.421136,733289032,466281912
2021-04-30T08:21:08.921389,712884800,486686144
2021-04-30T08:21:11.421641,694340192,505230752
2021-04-30T08:21:13.921888,677558880,522012064
2021-04-30T08:21:16.422143,660542976,539027968
2021-04-30T08:21:18.922408,641259104,558311840
2021-04-30T08:21:21.422670,623803944,575767000
2021-04-30T08:21:23.922924,606937752,592633192
2021-04-30T08:21:26.423169,586679496,612891448
2021-04-30T08:21:28.923423,569189008,630381936
2021-04-30T08:21:31.423677,549636640,649934304
2021-04-30T08:21:33.923940,865027000,334543944
2021-04-30T08:21:36.424185,843154624,356416320
2021-04-30T08:21:38.924443,824278208,375292736
2021-04-30T08:21:41.424697,776952720,422618224
2021-04-30T08:21:43.924952,740791816,458779128
2021-04-30T08:21:46.425210,711032000,488538944
2021-04-30T08:21:48.925461,687965376,511605568
2021-04-30T08:21:51.425706,658605248,540965696
2021-04-30T08:21:53.925999,630148040,569422904
2021-04-30T08:21:56.426268,604079296,595491648
2021-04-30T08:21:58.926521,574719168,624851776
2021-04-30T08:22:01.426789,549553344,650017600
2021-04-30T08:22:03.927052,531583888,667987056
2021-04-30T08:22:06.427314,513899712,685671232
2021-04-30T08:22:08.927568,495934384,703636560
2021-04-30T08:22:11.427823,476150976,723419968
2021-04-30T08:22:13.928086,457278656,742292288
2021-04-30T08:22:16.428344,441406352,758164592
2021-04-30T08:22:18.928595,420432840,779138104
2021-04-30T08:22:21.428849,402695584,796875360
2021-04-30T08:22:23.929096,382686096,816884848
2021-04-30T08:22:26.429339,362656736,836914208
2021-04-30T08:22:28.929585,808356288,391214656
2021-04-30T08:22:31.429859,782981264,416589680
2021-04-30T08:22:33.930102,759504176,440066768
2021-04-30T08:22:36.430335,732284736,467286208
2021-04-30T08:22:38.930579,709214016,490356928
2021-04-30T08:22:41.430830,682531200,517039744
2021-04-30T08:22:43.931065,658882368,540688576
2021-04-30T08:22:46.431308,635815744,563755200
2021-04-30T08:22:48.931544,610647872,588923072
2021-04-30T08:22:51.431796,585484096,614086848
2021-04-30T08:22:53.932044,560318272,639252672
2021-04-30T08:22:56.432267,516947008,682623936
2021-04-30T08:22:58.932502,489015104,710555840
2021-04-30T08:23:01.432741,464427456,735143488
2021-04-30T08:23:03.932979,440565256,759005688
2021-04-30T08:23:06.433218,415610672,783960272
2021-04-30T08:23:08.933446,388351808,811219136
2021-04-30T08:23:11.433688,361086784,838484160
2021-04-30T08:23:13.933936,338020160,861550784
2021-04-30T08:23:16.434176,874997864,324573080
2021-04-30T08:23:18.934416,847784992,351785952
2021-04-30T08:23:21.434661,822420072,377150872
2021-04-30T08:23:23.934915,795161456,404409488
2021-04-30T08:23:26.435160,768045160,431525784
2021-04-30T08:23:28.935398,742732656,456838288
2021-04-30T08:23:31.435629,713880296,485690648
2021-04-30T08:23:33.935865,686109552,513461392
2021-04-30T08:23:36.436102,658991208,540579736
2021-04-30T08:23:38.936349,625588032,573982912
2021-04-30T08:23:41.436580,598173800,601397144
2021-04-30T08:23:43.936811,571289624,628281320
2021-04-30T08:23:46.437048,545747048,653823896
2021-04-30T08:23:48.937302,518287440,681283504
2021-04-30T08:23:51.437532,491728888,707842056
2021-04-30T08:23:53.937765,463954008,735616936
2021-04-30T08:23:56.437991,436695144,762875800
2021-04-30T08:23:58.938217,409430120,790140824
2021-04-30T08:24:01.438452,382169192,817401752
2021-04-30T08:24:03.938689,354548552,845022392
2021-04-30T08:24:06.438934,325544040,874026904
2021-04-30T08:24:08.939174,876296864,323274080
2021-04-30T08:24:11.439419,851122336,348448608
2021-04-30T08:24:13.939647,823857312,375713632
2021-04-30T08:24:16.439875,796721880,402849064
2021-04-30T08:24:18.940098,769313776,430257168
2021-04-30T08:24:21.440335,744048296,455522648
2021-04-30T08:24:23.940556,715071648,484499296
2021-04-30T08:24:26.440784,689113800,510457144
2021-04-30T08:24:28.941012,655958528,543612416
2021-04-30T08:24:31.441238,630675440,568895504
2021-04-30T08:24:33.941480,601429224,598141720
2021-04-30T08:24:36.441710,574298272,625272672
2021-04-30T08:24:38.941938,546885920,652685024
2021-04-30T08:24:41.442176,519772320,679798624
2021-04-30T08:24:43.942404,494290968,705279976
2021-04-30T08:24:46.442637,465244320,734326624
2021-04-30T08:24:48.942859,437981344,761589600
2021-04-30T08:24:51.443082,410720416,788850528
2021-04-30T08:24:53.943309,385554592,814016352
2021-04-30T08:24:56.443535,356328664,843242280
2021-04-30T08:24:58.943772,331028640,868542304
2021-04-30T08:25:01.444006,305860768,893710176
2021-04-30T08:25:03.944241,280696992,918873952
2021-04-30T08:25:06.444477,251601080,947969864
2021-04-30T08:25:08.944710,862563296,337007648
2021-04-30T08:25:11.444944,835040392,364530552
2021-04-30T08:25:13.945183,801596800,397974144
2021-04-30T08:25:16.445416,776430976,423139968
2021-04-30T08:25:18.945640,749321160,450249784
2021-04-30T08:25:21.445866,721905024,477665920
2021-04-30T08:25:23.946095,696635888,502935056
2021-04-30T08:25:26.446320,667379072,532191872
2021-04-30T08:25:28.946547,640005840,559565104
2021-04-30T08:25:31.446789,614780744,584790200
2021-04-30T08:25:33.947015,583579032,615991912
2021-04-30T08:25:36.447249,556383176,643187768
2021-04-30T08:25:38.947471,528936816,670634128
2021-04-30T08:25:41.447701,501593240,697977704
2021-04-30T08:25:43.947918,476282728,723288216
2021-04-30T08:25:46.448144,445080960,754489984
2021-04-30T08:25:48.948366,417788240,781782704
2021-04-30T08:25:51.448589,392534496,807036448
2021-04-30T08:25:53.948828,363165536,836405408
2021-04-30T08:25:56.449062,334024760,865546184
2021-04-30T08:25:58.949297,306668928,892902016
2021-04-30T08:26:01.449572,277087808,922483136
2021-04-30T08:26:03.949824,250030792,949540152
2021-04-30T08:26:06.450050,222554344,977016600
2021-04-30T08:26:08.950271,851403328,348167616
2021-04-30T08:26:11.450493,826253032,373317912
2021-04-30T08:26:13.950717,798945128,400625816
2021-04-30T08:26:16.450956,771715848,427855096
2021-04-30T08:26:18.951194,744454920,455116024
2021-04-30T08:26:21.451417,717189896,482381048
2021-04-30T08:26:23.951639,691567448,508003496
2021-04-30T08:26:26.451869,664763144,534807800
2021-04-30T08:26:28.952095,633402616,566168328
2021-04-30T08:26:31.452318,607994816,591576128
2021-04-30T08:26:33.952541,580838152,618732792
2021-04-30T08:26:36.452767,551516936,648054008
2021-04-30T08:26:38.952999,524120536,675450408
2021-04-30T08:26:41.453235,496990984,702579960
2021-04-30T08:26:43.953464,469584040,729986904
2021-04-30T08:26:46.453688,440365832,759205112
2021-04-30T08:26:48.953909,408798344,790772600
2021-04-30T08:26:51.454139,379550472,820020472
2021-04-30T08:26:53.954361,352285448,847285496
2021-04-30T08:26:56.454583,325022472,874548472
2021-04-30T08:26:58.954806,293524376,906046568
2021-04-30T08:27:01.455034,268297952,931272992
2021-04-30T08:27:03.955267,241094792,958476152
2021-04-30T08:27:06.455559,215928584,983642360
2021-04-30T08:27:08.955831,856387096,343183848
2021-04-30T08:27:11.456062,829141568,370429376
2021-04-30T08:27:13.956285,799912568,399658376
2021-04-30T08:27:16.456508,772583424,426987520
2021-04-30T08:27:18.956727,745109952,454460992
2021-04-30T08:27:21.456964,720020592,479550352
2021-04-30T08:27:23.957216,692727992,506842952
2021-04-30T08:27:26.457468,663531520,536039424
2021-04-30T08:27:28.957689,636071792,563499152
2021-04-30T08:27:31.457899,610971336,588599608
2021-04-30T08:27:33.958113,579565072,620005872
2021-04-30T08:27:36.458348,543937728,655633216
2021-04-30T08:27:38.958580,514550696,685020248
2021-04-30T08:27:41.458811,487370752,712200192
2021-04-30T08:27:43.959037,462054144,737516800
2021-04-30T08:27:46.459268,432844800,766726144
2021-04-30T08:27:48.959493,405529024,794041920
2021-04-30T08:27:51.459718,378318848,821252096
2021-04-30T08:27:53.959940,350982816,848588128
2021-04-30T08:27:56.460155,325859528,873711416
2021-04-30T08:27:58.960384,296391088,903179856
2021-04-30T08:28:01.460623,271271152,928299792
2021-04-30T08:28:03.960852,244101120,955469824
2021-04-30T08:28:06.461071,216601416,982969528
2021-04-30T08:28:08.961285,868033168,331537776
2021-04-30T08:28:11.461504,840667808,358903136
2021-04-30T08:28:13.961748,809393216,390177728
2021-04-30T08:28:16.461969,784227392,415343552
2021-04-30T08:28:18.962205,754695504,444875440
2021-04-30T08:28:21.462439,727499872,472071072
2021-04-30T08:28:23.962656,698222088,501348856
2021-04-30T08:28:26.462879,670981184,528589760
2021-04-30T08:28:28.963101,643612608,555958336
2021-04-30T08:28:31.463314,616420312,583150632
2021-04-30T08:28:33.963536,589048496,610522448
2021-04-30T08:28:36.463761,561929280,637641664
2021-04-30T08:28:38.963974,534333960,665236984
2021-04-30T08:28:41.464192,507403328,692167616
2021-04-30T08:28:43.964414,480030352,719540592
2021-04-30T08:28:46.464634,450752664,748818280
2021-04-30T08:28:48.964867,423464320,776106624
2021-04-30T08:28:51.465110,396194968,803375976
2021-04-30T08:28:53.965333,370849624,828721320
2021-04-30T08:28:56.465551,341585808,857985136
2021-04-30T08:28:58.965790,312366144,887204800
2021-04-30T08:29:01.466010,232617376,966953568
2021-04-30T08:29:03.966250,201217088,998353856
2021-04-30T08:29:06.466491,843399944,356171000
2021-04-30T08:29:08.966721,818099480,381471464
2021-04-30T08:29:11.466959,788828760,410742184
2021-04-30T08:29:13.967181,757398336,442172608
2021-04-30T08:29:16.467404,725957384,473613560
2021-04-30T08:29:18.967622,698601992,500968952
2021-04-30T08:29:21.467844,671431432,528139512
2021-04-30T08:29:23.968058,641956752,557614192
2021-04-30T08:29:26.468280,612713224,586857720
2021-04-30T08:29:28.968513,583353096,616217848
2021-04-30T08:29:31.468731,556071736,643499208
2021-04-30T08:29:33.968951,526650352,672920592
2021-04-30T08:29:36.469172,497336224,702234720
2021-04-30T08:29:38.969394,468000504,731570440
2021-04-30T08:29:41.469613,438647560,760923384
2021-04-30T08:29:43.969843,411386632,788184312
2021-04-30T08:29:46.470073,382044856,817526088
2021-04-30T08:29:48.970320,352666376,846904568
2021-04-30T08:29:51.470568,323304200,876266744
2021-04-30T08:29:53.970797,295976128,903594816
2021-04-30T08:29:56.471020,266623064,932947880
2021-04-30T08:29:58.971258,237286928,962284016
2021-04-30T08:30:01.471507,207901320,991669624
2021-04-30T08:30:03.971742,858677632,340893312
2021-04-30T08:30:06.471979,829319552,370251392
2021-04-30T08:30:08.972199,797860224,401710720
2021-04-30T08:30:11.472413,772512640,427058304
2021-04-30T08:30:13.972633,743287232,456283712
2021-04-30T08:30:16.472881,713840040,485730904
2021-04-30T08:30:18.973132,682516864,517054080
2021-04-30T08:30:21.473363,655251824,544319120
2021-04-30T08:30:23.973580,625893760,573677184
2021-04-30T08:30:26.473820,598632832,600938112
2021-04-30T08:30:28.974039,569167064,630403880
2021-04-30T08:30:31.474261,537813376,661757568
2021-04-30T08:30:33.974493,512513448,687057496
2021-04-30T08:30:36.474706,483227304,716343640
2021-04-30T08:30:38.974946,453883432,745687512
2021-04-30T08:30:41.475160,424507464,775063480
2021-04-30T08:30:43.975379,395136568,804434376
2021-04-30T08:30:46.475598,363736536,835834408
2021-04-30T08:30:48.975821,336427080,863143864
2021-04-30T08:30:51.476038,309193288,890377656
2021-04-30T08:30:53.976252,279863680,919707264
2021-04-30T08:30:56.476466,250490808,949080136
2021-04-30T08:30:58.976680,223184656,976386288
2021-04-30T08:31:01.476905,191770608,1007800336
2021-04-30T08:31:03.977132,845123408,354447536
2021-04-30T08:31:06.477351,815848072,383722872
2021-04-30T08:31:08.977579,786513344,413057600
2021-04-30T08:31:11.477797,759074992,440495952
2021-04-30T08:31:13.978031,729848448,469722496
2021-04-30T08:31:16.478304,700409864,499161080
2021-04-30T08:31:18.978578,671113312,528457632
2021-04-30T08:31:21.478912,641782808,557788136
2021-04-30T08:31:23.979298,610350528,589220416
2021-04-30T08:31:26.479503,578850640,620720304
2021-04-30T08:31:28.979702,553595488,645975456
2021-04-30T08:31:31.479902,524308032,675262912
2021-04-30T08:31:33.980101,499136720,700434224
2021-04-30T08:31:36.480317,469708344,729862600
2021-04-30T08:31:38.980522,442578368,756992576
2021-04-30T08:31:41.480726,411084912,788486032
2021-04-30T08:31:43.980926,385796416,813774528
2021-04-30T08:31:46.481127,354500032,845070912
2021-04-30T08:31:48.981334,325139904,874431040
2021-04-30T08:31:51.481536,297740808,901830136
2021-04-30T08:31:53.981739,268420152,931150792
2021-04-30T08:31:56.481940,234958256,964612688
2021-04-30T08:31:58.982139,209741232,989829712
2021-04-30T08:32:01.482355,861938880,337632064
2021-04-30T08:32:03.982557,832541464,367029480
2021-04-30T08:32:06.482782,803218624,396352320
2021-04-30T08:32:08.982988,775816760,423754184
2021-04-30T08:32:11.483191,748597768,450973176
2021-04-30T08:32:13.983403,717131688,482439256
2021-04-30T08:32:16.483607,689925832,509645112
2021-04-30T08:32:18.983806,660562256,539008688
2021-04-30T08:32:21.484007,631252160,568318784
2021-04-30T08:32:23.984210,603888688,595682256
2021-04-30T08:32:26.484419,574577528,624993416
2021-04-30T08:32:28.984627,545160840,654410104
2021-04-30T08:32:31.484826,515883976,683686968
2021-04-30T08:32:33.985028,488645824,710925120
2021-04-30T08:32:36.485222,459240968,740329976
2021-04-30T08:32:38.985424,429925568,769645376
2021-04-30T08:32:41.485621,402608400,796962544
2021-04-30T08:32:43.985817,373228744,826342200
2021-04-30T08:32:46.486016,343940288,855630656
2021-04-30T08:32:48.986214,316607264,882963680
2021-04-30T08:32:51.486413,287319232,912251712
2021-04-30T08:32:53.986606,259867264,939703680
2021-04-30T08:32:56.486812,228598976,970971968
2021-04-30T08:32:58.987006,201176096,998394848
2021-04-30T08:33:01.487215,853515680,346055264
2021-04-30T08:33:03.987422,826037856,373533088
2021-04-30T08:33:06.487621,796818624,402752320
2021-04-30T08:33:08.987816,769583672,429987272
2021-04-30T08:33:11.488014,738139224,461431720
2021-04-30T08:33:13.988212,708730248,490840696
2021-04-30T08:33:16.488413,679364648,520206296
2021-04-30T08:33:18.988615,647951856,551619088
2021-04-30T08:33:21.488813,620636928,578934016
2021-04-30T08:33:23.988999,595475144,604095800
2021-04-30T08:33:26.489195,568303008,631267936
2021-04-30T08:33:28.989393,538859376,660711568
2021-04-30T08:33:31.489592,509580704,689990240
2021-04-30T08:33:33.989788,484414880,715156064
2021-04-30T08:33:36.489990,454962688,744608256
2021-04-30T08:33:38.990188,423451664,776119280
2021-04-30T08:33:41.490387,396242800,803328144
2021-04-30T08:33:43.990593,368870728,830700216
2021-04-30T08:33:46.490804,337616288,861954656
2021-04-30T08:33:48.991005,310186016,889384928
2021-04-30T08:33:51.491208,280938736,918632208
2021-04-30T08:33:53.991404,251631008,947939936
2021-04-30T08:33:56.491602,224370080,975200864
2021-04-30T08:33:58.991803,194915800,1004655144
2021-04-30T08:34:01.492006,847076184,352494760
2021-04-30T08:34:03.992206,819836232,379734712
2021-04-30T08:34:06.492402,790448472,409122472
2021-04-30T08:34:08.992607,761156824,438414120
2021-04-30T08:34:11.492809,731850752,467720192
2021-04-30T08:34:13.993009,706583904,492987040
2021-04-30T08:34:16.493215,675145648,524425296
2021-04-30T08:34:18.993412,645664344,553906600
2021-04-30T08:34:21.493597,614400632,585170312
2021-04-30T08:34:23.993775,587103584,612467360
2021-04-30T08:34:26.493928,559821400,639749544
2021-04-30T08:34:28.994098,530474248,669096696
2021-04-30T08:34:31.494291,501128064,698442880
2021-04-30T08:34:33.994489,473705600,725865344
2021-04-30T08:34:36.494695,446585272,752985672
2021-04-30T08:34:38.994908,415098224,784472720
2021-04-30T08:34:41.495111,385667504,813903440
2021-04-30T08:34:43.995312,354363392,845207552
2021-04-30T08:34:46.495513,322765056,876805888
2021-04-30T08:34:48.995717,291446784,908124160
2021-04-30T08:34:51.495925,262088704,937482240
2021-04-30T08:34:53.996119,232717360,966853584
2021-04-30T08:34:56.496333,201220720,998350224
2021-04-30T08:34:58.996529,846000080,353570864
2021-04-30T08:35:01.496740,814582496,384988448
2021-04-30T08:35:03.996945,787275024,412295920
2021-04-30T08:35:06.497149,757979920,441591024
2021-04-30T08:35:08.997360,728602128,470968816
2021-04-30T08:35:11.497565,703364448,496206496
2021-04-30T08:35:13.997774,674043976,525526968
2021-04-30T08:35:16.497984,648775152,550795792
2021-04-30T08:35:18.998179,623667440,575903504
2021-04-30T08:35:21.498372,596388128,603182816
2021-04-30T08:35:23.998584,571320920,628250024
2021-04-30T08:35:26.498785,546159984,653410960
2021-04-30T08:35:28.998978,516809504,682761440
2021-04-30T08:35:31.499180,487449376,712121568
2021-04-30T08:35:33.999372,458039664,741531280
2021-04-30T08:35:36.499567,432904712,766666232
2021-04-30T08:35:38.999757,403461568,796109376
2021-04-30T08:35:41.499957,374131016,825439928
2021-04-30T08:35:44.000156,344845088,854725856
2021-04-30T08:35:46.500345,313335344,886235600
2021-04-30T08:35:49.000537,281828848,917742096
2021-04-30T08:35:51.500726,254549960,945020984
2021-04-30T08:35:54.000937,227379936,972191008
2021-04-30T08:35:56.501125,202129152,997441792
2021-04-30T08:35:59.001322,856403528,343167416
2021-04-30T08:36:01.501517,829108144,370462800
2021-04-30T08:36:04.001710,801753808,397817136
2021-04-30T08:36:06.501905,772411456,427159488
2021-04-30T08:36:09.002097,743073368,456497576
2021-04-30T08:36:11.502284,711577752,487993192
2021-04-30T08:36:14.002489,684437064,515133880
2021-04-30T08:36:16.502679,657077192,542493752
2021-04-30T08:36:19.002870,627729024,571841920
2021-04-30T08:36:21.503068,600550984,599019960
2021-04-30T08:36:24.003258,573112592,626458352
2021-04-30T08:36:26.503449,543810168,655760776
2021-04-30T08:36:29.003642,514343008,685227936
2021-04-30T08:36:31.503841,483110472,716460472
2021-04-30T08:36:34.004039,457815120,741755824
2021-04-30T08:36:36.504238,424390216,775180728
2021-04-30T08:36:39.004432,397082488,802488456
2021-04-30T08:36:41.504750,369746192,829824752
2021-04-30T08:36:44.005015,340492256,859078688
2021-04-30T08:36:46.505300,311144008,888426936
2021-04-30T08:36:49.005481,283736080,915834864
2021-04-30T08:36:51.505664,254411808,945159136
2021-04-30T08:36:54.005846,225021680,974549264
2021-04-30T08:36:56.506047,195746056,1003824888
2021-04-30T08:36:59.006231,854847784,344723160
2021-04-30T08:37:01.506415,825485336,374085608
2021-04-30T08:37:04.006598,794140656,405430288
2021-04-30T08:37:06.506795,766908112,432662832
2021-04-30T08:37:09.006973,741669952,457900992
2021-04-30T08:37:11.507159,714430208,485140736
2021-04-30T08:37:14.007344,687183288,512387656
2021-04-30T08:37:16.507533,657807096,541763848
2021-04-30T08:37:19.007710,628449920,571121024
2021-04-30T08:37:21.507891,599138000,600432944
2021-04-30T08:37:24.008068,571646104,627924840
2021-04-30T08:37:26.508247,542410024,657160920
2021-04-30T08:37:29.008426,512999200,686571744
2021-04-30T08:37:31.508604,483767048,715803896
2021-04-30T08:37:34.008802,456531664,743039280
2021-04-30T08:37:36.508992,429113464,770457480
2021-04-30T08:37:39.009169,397755776,801815168
2021-04-30T08:37:41.509369,370455024,829115920
2021-04-30T08:37:44.009547,343175208,856395736
2021-04-30T08:37:46.509737,313781312,885789632
2021-04-30T08:37:49.009921,286503000,913067944
2021-04-30T08:37:51.510112,255205072,944365872
2021-04-30T08:37:54.010298,227750368,971820576
2021-04-30T08:37:56.510497,198533704,1001037240
2021-04-30T08:37:59.010684,861316480,338254464
2021-04-30T08:38:01.510869,834372368,365198576
2021-04-30T08:38:04.011050,788133360,411437584
2021-04-30T08:38:06.511228,760869264,438701680
2021-04-30T08:38:09.011423,731588720,467982224
2021-04-30T08:38:11.511604,704276456,495294488
2021-04-30T08:38:14.011788,674949416,524621528
2021-04-30T08:38:16.511972,645592080,553978864
2021-04-30T08:38:19.012161,616182416,583388528
2021-04-30T08:38:21.512348,588905776,610665168
2021-04-30T08:38:24.012531,561645392,637925552
2021-04-30T08:38:26.512720,532289544,667281400
2021-04-30T08:38:29.012902,503005824,696565120
2021-04-30T08:38:31.513086,475616624,723954320
2021-04-30T08:38:34.013276,446272768,753298176
2021-04-30T08:38:36.513482,414944016,784626928
2021-04-30T08:38:39.013670,387620048,811950896
2021-04-30T08:38:41.513854,360344424,839226520
2021-04-30T08:38:44.014043,328861184,870709760
2021-04-30T08:38:46.514226,301635968,897934976
2021-04-30T08:38:49.014435,272183240,927387704
2021-04-30T08:38:51.514633,242944672,956626272
2021-04-30T08:38:54.014837,213617424,985953520
2021-04-30T08:38:56.515018,186254672,1013316272
2021-04-30T08:38:59.015202,846106312,353464632
2021-04-30T08:39:01.515389,816851504,382719440
2021-04-30T08:39:04.015583,789590576,409980368
2021-04-30T08:39:06.515767,760203656,439367288
2021-04-30T08:39:09.015955,730870320,468700624
2021-04-30T08:39:11.516162,705612632,493958312
2021-04-30T08:39:14.016355,676344368,523226576
2021-04-30T08:39:16.516539,646982192,552588752
2021-04-30T08:39:19.016719,619487896,580083048
2021-04-30T08:39:21.516904,588263984,611306960
2021-04-30T08:39:24.017088,558903856,640667088
2021-04-30T08:39:26.517267,529541680,670029264
2021-04-30T08:39:29.017468,500183600,699387344
2021-04-30T08:39:31.517643,470821424,728749520
2021-04-30T08:39:34.017826,443423352,756147592
2021-04-30T08:39:36.518006,414096784,785474160
2021-04-30T08:39:39.018190,384734344,814836600
2021-04-30T08:39:41.518373,357577264,841993680
2021-04-30T08:39:44.018560,326042856,873528088
2021-04-30T08:39:46.518744,300861824,898709120
2021-04-30T08:39:49.018934,269494832,930076112
2021-04-30T08:39:51.519117,240136752,959434192
2021-04-30T08:39:54.019306,210776624,988794320
2021-04-30T08:39:56.519493,183435632,1016135312
2021-04-30T08:39:59.019676,845483032,354087912
2021-04-30T08:40:01.519861,816153864,383417080
2021-04-30T08:40:04.020045,788974576,410596368
2021-04-30T08:40:06.520228,759568096,440002848
2021-04-30T08:40:09.020409,730184664,469386280
2021-04-30T08:40:11.520590,700800496,498770448
2021-04-30T08:40:14.020780,671536112,528034832
2021-04-30T08:40:16.520969,646337704,553233240
2021-04-30T08:40:19.021149,616953512,582617432
2021-04-30T08:40:21.521330,587617440,611953504
2021-04-30T08:40:24.021510,558225864,641345080
2021-04-30T08:40:26.521695,528836584,670734360
2021-04-30T08:40:29.021873,499567600,700003344
2021-04-30T08:40:31.522054,472115152,727455792
2021-04-30T08:40:34.022233,442706752,756864192
2021-04-30T08:40:36.522406,413532608,786038336
2021-04-30T08:40:39.022581,384134576,815436368
2021-04-30T08:40:41.522769,354761040,844809904
2021-04-30T08:40:44.022950,325351240,874219704
2021-04-30T08:40:46.523130,296061896,903509048
2021-04-30T08:40:49.023316,266776832,932794112
2021-04-30T08:40:51.523495,239520752,960050192
2021-04-30T08:40:54.023678,210133984,989436960
2021-04-30T08:40:56.523850,180749784,1018821160
2021-04-30T08:40:59.024026,849390456,350180488
2021-04-30T08:41:01.524204,822193336,377377608
2021-04-30T08:41:04.024382,794983240,404587704
2021-04-30T08:41:06.524560,769714008,429856936
2021-04-30T08:41:09.024742,744527584,455043360
